numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230407120000;102050;40;1;330;4.300000;284.450000;279.950000;74;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101180;mq;mq;530;mq;mq;mq;mq;276.750000;mq;mq;6.700000;6.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20230407120000;101980;40;2;310;5.600000;283.550000;280.250000;80;37230;0;mq;mq;75;5;800;mq;mq;mq;101410;mq;mq;560;mq;mq;mq;mq;278.450000;mq;mq;9.600000;9.600000;-10;0;0.000000;mq;mq;-0.100000;2.600000;2.600000;2.600000;3.200000;mq;mq;mq;mq;3;mq;690;5;mq;990;5;mq;1380;mq;8;mq;
07020;20230407120000;102160;10;0;50;3.000000;284.150000;279.650000;74;16000;2;0;mq;50;1;800;32;20;15;102050;mq;mq;370;mq;mq;mq;mq;mq;mq;mq;4.600000;5.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;800;4;0;7000;mq;mq;mq;mq;mq;mq;
07027;20230407120000;102140;10;3;340;3.400000;284.950000;278.350000;64;19750;0;mq;mq;mq;3;800;mq;mq;mq;101330;mq;mq;360;mq;mq;mq;mq;280.950000;mq;mq;6.800000;7.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;810;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20230407120000;102060;10;2;360;3.000000;283.750000;278.050000;68;19700;0;mq;mq;100;8;800;mq;mq;mq;100160;mq;mq;380;mq;mq;mq;mq;280.450000;mq;mq;4.800000;8.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;1;mq;900;8;mq;1500;mq;mq;mq;mq;mq;mq;
07072;20230407120000;101920;60;2;320;4.700000;282.750000;279.650000;81;20000;0;mq;mq;100;7;1250;mq;mq;mq;100760;mq;mq;160;mq;mq;mq;mq;274.250000;mq;mq;6.600000;11.900000;-10;0;0.000000;mq;mq;-0.100000;0.400000;0.400000;7.500000;7.500000;mq;mq;mq;mq;5;mq;1170;7;mq;1380;7;mq;1620;mq;mq;mq;
07110;20230407120000;102000;-100;8;140;3.200000;287.650000;279.750000;59;36650;0;mq;mq;mq;5;1250;mq;mq;mq;100830;mq;mq;-20;mq;mq;mq;mq;271.750000;mq;mq;6.600000;6.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;1020;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20230407120000;102070;-70;7;40;6.400000;285.650000;279.650000;67;25000;2;2;mq;60;5;1250;31;20;11;101370;mq;mq;100;mq;mq;mq;mq;mq;mq;mq;9.500000;9.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;1;8;1000;3;0;5000;mq;mq;mq;mq;mq;mq;
07130;20230407120000;102070;-70;8;100;2.200000;286.550000;278.950000;60;43560;0;mq;mq;75;6;1250;mq;mq;mq;101620;mq;mq;120;mq;mq;mq;mq;278.450000;mq;mq;4.600000;6.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;6;mq;1170;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20230407120000;102050;-20;5;20;3.600000;285.750000;276.150000;52;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100310;mq;mq;190;mq;mq;mq;mq;280.650000;mq;mq;6.100000;6.300000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
